Codi naturalesa,Coordenades UTM X,Coordenades UTM Y,Coordenades GEO X,Coordenades GEO Y
1,496396.962,4678466.637,2.956317135,42.25839085
2,336613.091,4607890.675,1.039242574,41.60601421
3,289838,4521347.7,0.508093,40.816221
4,390929.545,4577989.888,1.696282253,41.34602309
5,409353.506,4592713.414,1.914255945,41.48090657
6,438741.63,4642864.326,2.261071521,41.93536875
7,469217.147,4621510.496,2.629781264,41.74481789
8,380209.931,4648309.313,1.554089476,41.97768159
9,485617.132,4645803.317,2.826428416,41.96408602
10,478639.634,4628996.014,2.742832925,41.81254863
11,340628.445,4559127.473,1.100230045,41.16782845
12,291029.005,4543848.529,0.514646719,41.01906004
13,349738.368,4567827.593,1.206633183,41.24789961
14,431776.429,4585340.849,2.183635203,41.41672629
15,381003.128,4570511.047,1.579128812,41.27727131
16,512683.681,4689742.195,3.154022758,42.35984544
17,482864.68,4614355.395,2.794121514,41.68078307
18,323354.057,4607985.871,0.880197644,41.6040479
19,490667.519,4652741.1,2.887265818,42.02664822
